transaction_date;month_name;month_id;day_name;day_number;trans_count;products_sold;product_category;product_detail;product_type;store_location;time_bucket;Total_revenue
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;Astoria;Afternoon;14
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Earl Grey Rg;Brewed Black tea;Hell's Kitchen;Afternoon;15
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Latte;Barista Espresso;Lower Manhattan;Afternoon;15
2023/01/01;Jan;2023-Jan;Sun;1;6;6;Coffee;Brazilian Sm;Organic brewed coffee;Lower Manhattan;Afternoon;26,4
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;Astoria;Afternoon;7,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Our Old Time Diner Blend Lg;Drip coffee;Astoria;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Cappuccino Lg;Barista Espresso;Lower Manhattan;Afternoon;17
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Latte;Barista Espresso;Hell's Kitchen;Afternoon;11,25
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;Astoria;Afternoon;20
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;Astoria;Afternoon;12,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Ethiopia Sm;Gourmet brewed coffee;Lower Manhattan;Afternoon;8,8
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;Hell's Kitchen;Afternoon;15
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Tea;English Breakfast Lg;Brewed Black tea;Hell's Kitchen;Afternoon;21
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Traditional Blend Chai Lg;Brewed Chai tea;Astoria;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;Astoria;Afternoon;5,1
2023/01/01;Jan;2023-Jan;Sun;1;5;5;Coffee;Our Old Time Diner Blend Rg;Drip coffee;Astoria;Afternoon;17,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Ethiopia Lg;Gourmet brewed coffee;Astoria;Afternoon;7
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Latte;Barista Espresso;Astoria;Afternoon;22,5
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;Hell's Kitchen;Afternoon;21
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;Astoria;Afternoon;4,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Ethiopia Rg;Gourmet brewed coffee;Astoria;Afternoon;9
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Traditional Blend Chai Lg;Brewed Chai tea;Hell's Kitchen;Afternoon;12
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;Lower Manhattan;Afternoon;14,25
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Bakery;Ginger Scone;Scone;Lower Manhattan;Afternoon;9,75
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;Lower Manhattan;Afternoon;5,1
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Bakery;Croissant;Pastry;Lower Manhattan;Afternoon;10,5
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;Hell's Kitchen;Afternoon;15
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Espresso shot;Barista Espresso;Hell's Kitchen;Afternoon;3
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;Lower Manhattan;Afternoon;15,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Peppermint Lg;Brewed herbal tea;Hell's Kitchen;Afternoon;9
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Brazilian Rg;Organic brewed coffee;Hell's Kitchen;Afternoon;12
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;Astoria;Afternoon;9,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Serenity Green Tea Lg;Brewed Green tea;Astoria;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;Lower Manhattan;Afternoon;12
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Scottish Cream Scone ;Scone;Hell's Kitchen;Afternoon;4,5
2023/01/01;Jan;2023-Jan;Sun;1;5;5;Tea;Lemon Grass Lg;Brewed herbal tea;Astoria;Afternoon;21
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Brazilian Sm;Organic brewed coffee;Hell's Kitchen;Afternoon;4,4
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Ginger Scone;Scone;Hell's Kitchen;Afternoon;3,25
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Lemon Grass Rg;Brewed herbal tea;Hell's Kitchen;Afternoon;10
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;Hell's Kitchen;Afternoon;10
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Our Old Time Diner Blend Sm;Drip coffee;Astoria;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;6;6;Drinking Chocolate;Dark chocolate Rg;Hot chocolate;Astoria;Afternoon;31,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Our Old Time Diner Blend Lg;Drip coffee;Lower Manhattan;Afternoon;12
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;Lower Manhattan;Afternoon;11,25
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;Hell's Kitchen;Afternoon;2,55
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;Astoria;Afternoon;12
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;Hell's Kitchen;Afternoon;8
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Croissant;Pastry;Hell's Kitchen;Afternoon;7
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Ethiopia Sm;Gourmet brewed coffee;Hell's Kitchen;Afternoon;4,4
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Our Old Time Diner Blend Rg;Drip coffee;Lower Manhattan;Afternoon;10
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Serenity Green Tea Rg;Brewed Green tea;Astoria;Afternoon;15
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Ouro Brasileiro shot;Barista Espresso;Lower Manhattan;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Cappuccino;Barista Espresso;Hell's Kitchen;Afternoon;11,25
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Earl Grey Lg;Brewed Black tea;Lower Manhattan;Afternoon;3
2023/01/01;Jan;2023-Jan;Sun;1;5;5;Tea;Lemon Grass Rg;Brewed herbal tea;Astoria;Afternoon;25
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;Lower Manhattan;Afternoon;3,75
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Traditional Blend Chai Rg;Brewed Chai tea;Lower Manhattan;Afternoon;2,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Hazelnut Biscotti;Biscotti;Astoria;Afternoon;6,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;Astoria;Afternoon;6,2
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Our Old Time Diner Blend Sm;Drip coffee;Hell's Kitchen;Afternoon;8
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Traditional Blend Chai Lg;Brewed Chai tea;Lower Manhattan;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Ethiopia Rg;Gourmet brewed coffee;Hell's Kitchen;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Ethiopia Lg;Gourmet brewed coffee;Hell's Kitchen;Afternoon;3,5
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Lemon Grass Rg;Brewed herbal tea;Lower Manhattan;Afternoon;7,5
2023/01/01;Jan;2023-Jan;Sun;1;4;4;Tea;English Breakfast Rg;Brewed Black tea;Hell's Kitchen;Afternoon;12,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Brazilian Lg;Organic brewed coffee;Lower Manhattan;Afternoon;7
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Chocolate Croissant;Pastry;Lower Manhattan;Afternoon;7,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;Lower Manhattan;Afternoon;4,9
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Latte Rg;Barista Espresso;Lower Manhattan;Afternoon;25,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Hazelnut Biscotti;Biscotti;Lower Manhattan;Afternoon;6,5
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Cappuccino Lg;Barista Espresso;Astoria;Afternoon;25,5
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Bakery;Chocolate Croissant;Pastry;Hell's Kitchen;Afternoon;7,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Jumbo Savory Scone;Scone;Astoria;Afternoon;3,75
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;Hell's Kitchen;Afternoon;9,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Peppermint Lg;Brewed herbal tea;Lower Manhattan;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;English Breakfast Lg;Brewed Black tea;Lower Manhattan;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Scottish Cream Scone ;Scone;Lower Manhattan;Afternoon;4,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Latte Rg;Barista Espresso;Hell's Kitchen;Afternoon;8,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;Astoria;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Tea;Peppermint Rg;Brewed herbal tea;Lower Manhattan;Afternoon;10
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;Hell's Kitchen;Afternoon;4,9
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Earl Grey Rg;Brewed Black tea;Astoria;Afternoon;5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Tea;Earl Grey Lg;Brewed Black tea;Hell's Kitchen;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;Astoria;Afternoon;14,7
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Latte Rg;Barista Espresso;Astoria;Afternoon;17
2023/01/01;Jan;2023-Jan;Sun;1;3;3;Coffee;Cappuccino;Barista Espresso;Lower Manhattan;Afternoon;18,75
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Brazilian Rg;Organic brewed coffee;Astoria;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Tea;Earl Grey Rg;Brewed Black tea;Lower Manhattan;Afternoon;7,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Cranberry Scone;Scone;Astoria;Afternoon;3,25
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Ethiopia Sm;Gourmet brewed coffee;Astoria;Afternoon;8,8
2023/01/01;Jan;2023-Jan;Sun;1;2;2;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;Lower Manhattan;Afternoon;6
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Ginger Biscotti;Biscotti;Lower Manhattan;Afternoon;3,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Bakery;Chocolate Chip Biscotti;Biscotti;Astoria;Afternoon;3,5
2023/01/01;Jan;2023-Jan;Sun;1;1;1;Coffee;Espresso shot;Barista Espresso;Lower Manhattan;Afternoon;6
